sha,filename,url,lines,title,comment,priority,category,additional,id,private
"dcedb835c0bcd2abdfd8655ca72077fb99902b3e","\src\app\layout\footer\footer.component.html","","10:50-10:58","New date should be actual","test comment","3","Code-Style","","09487c44-b59d-4588-921c-5310e0282fdd","0"
"dcedb835c0bcd2abdfd8655ca72077fb99902b3e","\src\app\layout\footer\footer.component.html","","4:30-4:36","class style","use class builded in bootstrap","2","Best Practices","","934d1c42-7530-45c8-8e10-89a6cde4da4e","0"
